24	0	1.71	65.73
19	0	1.83	71.36
22	0	1.79	94.01
19	1	1.54	42.96
19	1	1.69	69.69
23	0	1.73	72.35
20	1	1.66	55.76
29	1	1.74	53.76
26	0	1.74	69.63
23	0	1.81	70.27
23	0	1.77	52.26
22	0	1.75	76.14
19	0	1.77	74.86
18	0	1.80	73.81
22	1	1.62	57.55
19	0	1.79	101.53
20	0	1.67	69.29
29	0	1.72	80.76
24	0	1.72	61.58
20	1	1.67	58.80
22	1	1.65	66.31
18	0	1.82	82.46
24	1	1.56	56.00
17	0	1.78	52.77
29	1	1.57	52.30
24	1	1.54	44.34
24	1	1.67	58.62
18	1	1.61	62.48
26	0	1.76	66.03
19	0	1.81	108.54
27	1	1.72	63.58
26	0	1.69	56.51
29	0	1.68	86.12
29	0	1.73	66.06
28	0	1.72	77.26
29	1	1.74	60.17
20	0	1.67	68.98
28	0	1.73	54.33
20	0	1.84	64.57
29	1	1.54	54.08
22	0	1.84	81.38
21	1	1.56	41.26
29	1	1.57	57.74
20	1	1.72	70.06
21	0	1.86	106.91
26	1	1.74	72.93
19	1	1.60	61.29
26	1	1.62	52.88
27	1	1.69	81.03
26	1	1.60	50.79
25	1	1.63	64.34
22	1	1.61	56.67
19	0	1.80	107.44
19	0	1.66	68.44
24	1	1.64	60.74
17	1	1.77	60.02
22	0	1.80	76.74
28	1	1.71	54.85
21	0	1.68	64.93
30	1	1.75	69.63
20	0	1.73	56.49
29	1	1.58	82.51
20	1	1.60	49.40
20	0	1.69	54.60
29	0	1.72	50.51
23	0	1.83	78.53
20	0	1.80	68.98
28	0	1.73	70.05
20	1	1.61	60.08
22	0	1.68	62.77
21	1	1.54	47.14
17	0	1.80	54.47
29	0	1.71	88.02
29	1	1.59	51.08
23	0	1.73	72.02
25	1	1.73	62.58
22	0	1.74	93.95
29	1	1.59	53.47
21	0	1.75	71.17
29	0	1.78	73.80
17	0	1.83	70.18
24	1	1.75	70.44
17	0	1.74	66.87
21	0	1.81	63.72
30	0	1.87	111.97
23	0	1.82	58.39
23	1	1.58	60.67
21	0	1.72	68.65
29	0	1.74	64.23
23	1	1.62	44.05
25	0	1.72	61.61
28	1	1.68	47.64
17	1	1.53	47.29
22	1	1.62	48.69
22	0	1.70	70.94
29	0	1.82	70.47
22	0	1.69	56.58
26	1	1.63	59.76
23	1	1.65	55.94
20	1	1.58	41.53
17	0	1.70	58.97
28	1	1.67	65.97
24	1	1.76	70.86
27	0	1.74	62.30
24	1	1.62	64.30
27	0	1.73	68.29
20	1	1.56	49.33
28	0	1.85	64.72
24	0	1.81	88.95
24	1	1.72	66.71
22	0	1.74	59.31
19	1	1.61	59.04
28	1	1.70	50.19
21	1	1.66	68.55
29	0	1.70	68.28
24	1	1.78	71.10
25	1	1.73	66.18
21	0	1.74	105.06
20	1	1.76	69.96
27	1	1.68	58.57
24	0	1.81	69.83
22	0	1.80	71.89
26	1	1.56	50.87
26	0	1.79	61.57
18	0	1.82	101.15
24	0	1.84	78.96
27	1	1.76	64.51
21	1	1.62	43.99
30	1	1.67	65.42
27	0	1.74	95.49
24	1	1.72	53.31
23	0	1.82	77.62
18	0	1.77	58.07
19	1	1.65	52.13
30	0	1.81	63.55
30	0	1.78	72.48
18	1	1.57	57.08
25	0	1.74	62.91
18	1	1.69	58.27
17	0	1.83	55.01
23	0	1.84	65.76
25	1	1.73	69.66
26	1	1.73	64.10
24	1	1.58	44.77
17	0	1.76	61.30
27	0	1.84	66.67
30	1	1.59	76.50
18	0	1.70	67.36
28	0	1.81	76.47
21	0	1.85	64.43
